ocid,comprador,departamento,categoria,monto,dias_consulta,dias_consulta_origen,n_licitantes,adjudicado,descripcion
ocds-dgv273-seacev3-1245819,GOBIERNO REGIONAL DE UCAYALI - UNIDAD DE GESTION EDUCATIVA LOCAL DE PURUS,UCAYALI,services,157600.98,2.0,declarado,9.0,True,¿MEJORAMIENTO DE LA INFRAESTRUCTURA DE LA INSTITUCION EDUCATIVA N° 64890-B EN LA COMUNIDAD NATIVA PIQUINIQUE DEL DISTRITO DE PURUS - PROVINCIA DE PURUS - DEPARTAMENTO DE UCAYALI.¿
ocds-dgv273-seacev3-1245810,MUNICIPALIDAD DISTRITAL DE CCOCHACCASA,HUANCAVELICA,services,408577.76,2.0,declarado,3.0,False,"CONTRATACION DE SERVICIO DE CONSULTORIA DE OBRA PARA SUPERVISION DE OBRA: ""CREACION DEL SERVICIO DE MOVILIDAD URBANA EN LAS VIAS LOCALES DE LA ZONA URBANA DE CENTRO POBLADO CCOCHACCASA DISTRITO DE CCOCHACCASA DE LA PROVINCIA DE ANGARAES DEL DEPARTAMENTO DE HUANCAVELICA"" CON CUI N° 2589671"
ocds-dgv273-seacev3-1245808,SERVICIO NACIONAL DE SANIDAD AGRARIA,LIMA,services,0.0,2.0,declarado,,False,"SERVICIO DE MANTENIMIENTO PREVENTIVO DE LOS EQUIPOS DE AIRE ACONDICIONADO DE LOS LABORATORIOS DE LA OCDP (UCDSA, UCDSV, UCCIRT, MICROBIOLOGIA y DE LA UCPMF)"
ocds-dgv273-seacev3-1245805,MUNICIPALIDAD DISTRITAL DE TUCUME,LAMBAYEQUE,goods,204727.8,2.0,declarado,1.0,True,"ADQUISICIÓN DE PRODUCTOS ALIMENTARIOS COMPLEMENTARIOS DESTINADOS AL PROGRAMA DEL VASO DE LECHE ¿HOJUELAS CRUDAS Y AVENA, QUINUA, QUIWICHA, CAÑIHUA, MACA CON ARINA INTEGRAL DE TRIGO, AZUCARADA ENRIQUECIDA CON VITAMINAS Y MINERALES¿"
ocds-dgv273-seacev3-1245803,GOBIERNO REGIONAL DE APURIMAC SEDE CENTRAL,APURIMAC,goods,0.0,2.0,declarado,,False,Adquisición de tableros eléctricos para el proyecto Mejoramiento de los servicios de Salud del Centro de salud Estratégico Chicmo del distrito de Santa María de Chicmo - Provincia de Andahuaylas - Departamento Apurímac
ocds-dgv273-seacev3-1245796,MUNICIPALIDAD DISTRITAL DE SAN MARCOS,ANCASH,works,0.0,2.0,declarado,,False,"CONTRATACION DE EJECUCION DE LA OBRA: CONSTRUCCION DE CAPTACION DE AGUA , RESERVORIO, LÍNEA DE CONDUCCIÓN Y RED DE DISTRIBUCION; EN EL(LA) SISTEMA DE AGUA POTABLE EN EL CENTRO POBLADO DE LA MERCED DE GAUCHO DISTRITO DE SAN MARCOS, PROVINCIA HUARI, DEPARTAMENTO ANCASH, CON CUI N°2612747."
ocds-dgv273-seacev3-1245795,GOBIERNO REGIONAL DE AREQUIPA - SALUD RED PERIFERICA AREQUIPA,AREQUIPA,goods,0.0,2.0,declarado,,False,ADQUISICIÓN DE KIT DE DIAGNÓSTICO INMUNOLÓGICO E INSUMOS DE HEMATOLOGÍA PARA LA RED DE SALUD AREQUIPA CAYLLOMA
ocds-dgv273-seacev3-1245793,MUNICIPALIDAD DISTRITAL DE SAN MARCOS,ANCASH,works,0.0,2.0,declarado,,False,CREACION DE LOS SERVICIOS DE PROTECCIÓN EN LA RIBERA DE LAS QUEBRADAS VULNERABLES ANTE EL PELIGRO EN LA QUEBRADA JATUN PAMPA HASTA RIO MOSNA MEDIANTE LA CANALIZACION DE AGUAS SUPERFICIALES EN EL CASERIO DE CONÍN DE CENTRO POBLADO PICHIU SAN PEDRO DISTRITO DE SAN MARCOS DE LA PROVINCIA DE HUARI DEL
ocds-dgv273-seacev3-1245787,COMPLEJO TURISTICO BAÑOS DEL INCA,CAJAMARCA,goods,272449.12,2.0,declarado,19.0,True,ADQUISICIÓN DE UNIFORMES INSTITUCIONALES PARA EL PERSONAL DEL COMPLEJO TURÍSTICO BAÑOS DEL INCA
ocds-dgv273-seacev3-1245786,EJERCITO PERUANO,LIMA,services,0.0,2.0,declarado,,False,"Servicio de mantenimiento y remodelación de las instalaciones eléctricas de la CEC ¿Arica¿ N° 33, ubicado en el centro poblado de Kiteni, distrito de Echarate, provincia de La Convención, departamento del Cusco de la 33ª Brigada de Infantería EP/UO 0875 AF-2026 PP032"
ocds-dgv273-seacev3-1245784,EJERCITO PERUANO,LIMA,services,0.0,2.0,declarado,,False,"Servicio de mantenimiento de la infraestructura del área de preparación de Alimentos (cocina) de los Oficiales, Técnicos, Suboficiales y Tropa del CEC N° 33 ""venecia"", ubicado en el centro poblado de Kiteni, distrito de Echarate, provincia de La Convención, departamento del Cusco de la 33ª Brigada d"
ocds-dgv273-seacev3-1245896,MUNICIPALIDAD DISTRITAL DE ACOPAMPA,ANCASH,works,131954.94,2.0,declarado,6.0,True,"CONTRATACIÓN PARA LA EJECUCIÓN DE LA IOARR: ¿REPARACION DE ESCALERA/ESCALINATA; EN EL(LA) CEMENTERIO DE SHAPIHUANCA DE LA LOCALIDAD DE ACOPAMPA DISTRITO DE ACOPAMPA, PROVINCIA CARHUAZ, DEPARTAMENTO ANCASH¿ CON C.U.I N° 2721911."
ocds-dgv273-seacev3-1245894,MUNICIPALIDAD DISTRITAL DE CERRO COLORADO,AREQUIPA,works,3608873.59,2.0,declarado,,False,CONTRATACIÓN DE EJECUCIÓN DE LA OBRA - IOARR POR PAQUETE: CON CUI N° 2678303 Y CON CUI N° 2691814
ocds-dgv273-seacev3-1245890,INSTITUTO NACIONAL DE ESTADISTICA,LIMA,services,0.0,2.0,declarado,,False,CONTRATACIÓN DEL SERVICIO DE EMISIÓN Y RECARGA DE TARJETAS ELECTRÓNICAS DE CONSUMO DE ALIMENTOS PARA EL PERSONAL DEL DECRETO LEGISLATIVO N°276 DEL INEI - 2026
ocds-dgv273-seacev3-1245889,GOBIERNO REGIONAL DE LAMBAYEQUE-EDUCACION,LAMBAYEQUE,goods,0.0,2.0,declarado,,False,ADQUISICIÓN DE UNIFORME INSTITUCIONAL CONFORMADO POR BUZOS DEPORTIVITO Y POLO INSTITUCIONAL COMO CONDICION DE TRABAJO PARA LOS SERVIDORES ADMINISTRATIVOS DEL DECRETO LEGISLATIVO N° 276 Y 1057 DE LA UGEL CHICLAYO
ocds-dgv273-seacev3-1245888,MUNICIPALIDAD DISTRITAL DE LAJAS,CAJAMARCA,goods,314440.0,2.0,declarado,9.0,True,ADQUISICION DE INSUMOS VETERINARIOS PARA LA EJECUCION DEL PROYECTO ¿MEJORAMIENTO DEL SERVICIO DE APOYO AL DESARROLLO PRODUCTIVO DE GANADO VACUNO EN 12 LOCALIDADES DEL DISTRITO DE LAJAS - PROVINCIA DE CHOTA - DEPARTAMENTO DE CAJAMARCA¿ CON CUI N° 2675064
ocds-dgv273-seacev3-1245884,MUNICIPALIDAD PROVINCIAL DE ICA,ICA,services,116915.49,2.0,declarado,,False,"CONTRATACIÓN DE CONSULTORÍA DE OBRA PARA LA SUPERVISION DE LA OBRA "" MEJORAMIENTO DEL PARQUE RECREACIONAL ANDRES AVELINO CACERES DORREGARAY EN LA URB. LA MODERNA, PROVINCIA DE ICA - ICA "" CON CUI N° 2224382."
ocds-dgv273-seacev3-1245876,GOBIERNO REGIONAL DE CAJAMARCA SEDE CENTRAL,CAJAMARCA,services,83577.67,2.0,declarado,7.0,True,CONTRATACIÓN DE SERVICIOS PARA CONSULTORIA EN GENERAL FORMULACION DEL ESTUDIO DE PRE INVERSION: ¿MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE EDUCACION PRIMARIA EN I.E No. 82151 ¿ CHANTA ALTA DISTRITO DE LA ENCAÑADA DE LA PROVINCIA DE CAJAMARCA DEL DEPARTAMENTO DE CAJAMARCA¿.
ocds-dgv273-seacev3-1245874,MUNICIPALIDAD DISTRITAL DE LA PERLA,CALLAO,services,928800.0,2.0,declarado,4.0,True,"SERVICIO DE RECOJO, TRANSPORTE Y DISPOSICION FINAL DE DESMONTE EN EL DISTRITO DE LA PERLA"
ocds-dgv273-seacev3-1245873,MUNICIPALIDAD DISTRITAL DE TAMBOGRANDE,PIURA,goods,0.0,2.0,declarado,,False,ADQUISICION DE FILTROS PARA MANTENIMIENTO DE LAS UNIDADES LIVIANAS Y PESADAS DE LA SUB GERENCIA DE MAESTRANZA Y MAQUINARIA
ocds-dgv273-seacev3-1245864,MUNICIPALIDAD DISTRITAL DE MAZAMARI,JUNIN,works,1842624.45,2.0,declarado,,False,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y CREACION DEL SERVICIO DE SANEAMIENTO DEL CENTRO POBLADO SANTA ROSA DE CHIRIARI, DISTRITO DE MAZAMARI - SATIPO - JUNIN"
ocds-dgv273-seacev3-1245854,MUNICIPALIDAD DISTRITAL DE TAMBOGRANDE,PIURA,services,100596.0,2.0,declarado,4.0,False,SERVICIO DE CONFECCION DE UNIFORMES PARA EL PERSONAL CAS AFILIADO A SITRAMCAT-CONVENIO COLECTIVO AÑO 2025
ocds-dgv273-seacev3-1245849,GOBIERNO REGIONAL DE AREQUIPA - GERENCIA REGIONAL DE TRANSPORTES Y COMUNICACIONES,AREQUIPA,services,47395.0,2.0,declarado,22.0,True,"CONTRATACIÓN DE SERVICIO DE SUPERVISIÓN DEL MANTENIMIENTO PERIÓDICO DE LA VÍA DEPARTAMENTAL PAVIMENTADA AR-101, TRAMO EMP PE-1S (DV. PTO LOMAS) - PTO. LOMAS; PROVINCIA DE CARAVELI, DEPARTAMENTO DE AREQUIPA. LONG 7.181 KM"
ocds-dgv273-seacev3-1245848,GOBIERNO REGIONAL DE CUSCO SEDE CENTRAL,CUSCO,goods,0.0,2.0,declarado,,False,"CONTRATACION DE MAQUINAS para la meta 153 ¿CONSTRUCCION DE PATIO DE MANTENIMIENTO; ADQUISICION DE SISTEMAS INTEGRADOS DE INFORMACION DE MANTENIMIENTO; KIT DE REPARACION DE LLANTAS, KIT DE RAPARACION DE MOTOR, KIT DE REPARACION DE LLANTAS, KIT DE ELECTRICIDAD, MAQUINARIA DE LAVADO...."
ocds-dgv273-seacev3-1245847,GOBIERNO REGIONAL DE HUANUCO - DIRECCIÓN REGIONAL DE SALUD - HUANUCO,HUANUCO,goods,0.0,2.0,declarado,,False,"ADQUISICION DE PRODUCTOS SANITARIOS (PAÑAL DESCARTABLE TIPO CALZON PARA ADULTO TALLA G, PAÑAL DESCARTABLE TIPO CALZON PARA ADULTO TALLA M) PARA LAS IPRESS DE LA REGION HUANUCO"
ocds-dgv273-seacev3-1245840,GOBIERNO REGIONAL DE PUNO SEDE CENTRAL,PUNO,services,0.0,2.0,declarado,,False,"SERVICIO DE INSTALACION DE UTILIZACION DE MEDIA TENSION A TODO COSTO, SEGÚN REQUERIMIENTO Y TÉRMINOS DE REFERENCIA PARA EL PROYECTO MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE EDUCACIÓN SUPERIOR TECNOLÓGICA EN EL INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO PUBLICO ACORA DEL DISTRITO DE ACORA DE LA PRO"
ocds-dgv273-seacev3-1245837,UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA,ICA,services,477589.75,2.0,declarado,34.0,True,SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LOS SISTEMAS DE AIRE ACONDICIONADO Y CLIMATIZACIÓN DE LA UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DISTRITO DE ICA DE LA PROVINCIA DE ICA DEL DEPARTAMENTO DE ICA
ocds-dgv273-seacev3-1245943,MUNICIPALIDAD DISTRITAL DE YACUS,HUANUCO,works,234991.11,2.0,declarado,1.0,True,CONTRATACIÓN PARA LA EJECUCIÓN DE OBRA: REPARACIÓN DE RESERVORIO; EN EL (LA) SISTEMA DE RIEGO DE LA LOCALIDAD DE PUCAPATA DEL DISTRITO DE YACUS DE LA PROVINCIA Y DEPARTAMENTO DE HUÁNUCO.
ocds-dgv273-seacev3-1245942,MUNICIPALIDAD DISTRITAL DE MAZAMARI,JUNIN,works,352583.14,2.0,declarado,,False,"EJECUCION DE LA IOARR: CONSTRUCCION DE AULA DE EDUCACION INICIAL; ADQUISICION DE EQUIPO DE AULA INICIAL Y MOBILIARIO DE AULA DE EDUCACION INICIAL; EN EL (LA) I.E 1752 EN EL CENTRO POBLADO CENTRO CUBARO, DISTRITO DE MAZAMARI DE LA PROVINCIA DE SATIPO, DEPARTAMENTO DE JUNIN. CON CUI N° 2720388."
