comprador,departamento,procesos_adjudicados,con_postor_unico,pct_postor_unico,monto_total,supera_minimo
MUNICIPALIDAD DISTRITAL DE AJOYANI,PUNO,5,1,20.0,1224830.0,False
MUNICIPALIDAD DISTRITAL DE BREÑA,LIMA,5,1,20.0,2341784.0,False
MUNICIPALIDAD DISTRITAL DE CARABAYLLO,LIMA,5,1,20.0,21611088.0,False
MUNICIPALIDAD DISTRITAL DE CHONGOYAPE,LAMBAYEQUE,5,1,20.0,464825.0,False
MUNICIPALIDAD DISTRITAL DE HAQUIRA,APURIMAC,5,1,20.0,24262203.0,False
MUNICIPALIDAD DISTRITAL DE LA ESPERANZA - TRUJILLO,LA LIBERTAD,5,1,20.0,5046216.0,False
MUNICIPALIDAD DISTRITAL DE LONGOTEA,LA LIBERTAD,5,1,20.0,15306885.0,False
MUNICIPALIDAD DISTRITAL DE LURIN,LIMA,5,1,20.0,4661356.0,False
MUNICIPALIDAD DISTRITAL DE MALA,LIMA,5,1,20.0,4854409.0,False
MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA - LORETO,LORETO,5,1,20.0,4932771.0,False
MUNICIPALIDAD PROVINCIAL DE CAJABAMBA,CAJAMARCA,5,1,20.0,1097198.0,False
MUNICIPALIDAD PROVINCIAL DE LORETO - NAUTA,LORETO,5,1,20.0,3574864.0,False
ORGANISMO NACIONAL DE SANIDAD PESQUERA,LIMA,5,1,20.0,318383.0,False
ORGANISMO SUPERVISOR DE INVERSION PRIVADA EN TELECOMUNICACIONES,LIMA,5,1,20.0,5635819.0,False
GOBIERNO REGIONAL DE JUNIN - UNIDAD TERRITORIAL DE SALUD JAUJA,JUNIN,11,2,18.18,2342692.0,False
MUNICIPALIDAD DISTRITAL DE SANTA MARIA DE CHICMO,APURIMAC,12,2,16.67,14266499.0,False
UNIDAD EJECUTORA 120 PROGRAMA NACIONAL DE DOTACION DE MATERIALES EDUCATIVOS,LIMA,12,2,16.67,18843859.0,False
CONTRALORIA GENERAL DE LA REPUBLICA,LIMA,6,1,16.67,25136767.0,False
EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE HUARAL S.A.,LIMA,6,1,16.67,1284076.0,False
EMPRESA NACIONAL DE PUERTOS S.A.,CALLAO,6,1,16.67,2507873.0,False
GOBIERNO REGIONAL DE AYACUCHO - UNIDAD EJECUTORA RED DE SALUD AYACUCHO NORTE,AYACUCHO,6,1,16.67,706615.0,False
GOBIERNO REGIONAL DE JUNIN-AGRICULTURA,JUNIN,6,1,16.67,871534.0,False
III DIRECCION TERRITORIAL DE POLICIA - TRUJILLO,LA LIBERTAD,6,1,16.67,1365740.0,False
MINISTERIO DE DEFENSA,LIMA,6,1,16.67,2319554.0,False
MUNICIPALIDAD DISTRITAL DE ANDOAS,LORETO,6,1,16.67,2810144.0,False
MUNICIPALIDAD DISTRITAL DE CACHACHI,CAJAMARCA,6,1,16.67,3131938.0,False
MUNICIPALIDAD DISTRITAL DE COLASAY,CAJAMARCA,6,1,16.67,6160545.0,False
MUNICIPALIDAD DISTRITAL DE LA ENCAÑADA,CAJAMARCA,6,1,16.67,3984576.0,False
MUNICIPALIDAD DISTRITAL DE MARIANO MELGAR,AREQUIPA,6,1,16.67,612545.0,False
MUNICIPALIDAD DISTRITAL DE NAMORA,CAJAMARCA,6,1,16.67,5942091.0,False
MUNICIPALIDAD DISTRITAL DE QUIRUVILCA,LA LIBERTAD,6,1,16.67,14497264.0,False
MUNICIPALIDAD DISTRITAL DE ROBLE,HUANCAVELICA,6,1,16.67,7361201.0,False
MUNICIPALIDAD PROVINCIAL DE MARISCAL LUZURIAGA - PISCOBAMBA,ANCASH,6,1,16.67,2256120.0,False
PROGRAMA NACIONAL DE BECAS Y CREDITO EDUCATIVO,LIMA,6,1,16.67,8373865.0,False
UNIVERSIDAD NACIONAL INTERCULTURAL DE QUILLABAMBA,CUSCO,6,1,16.67,2538446.0,False
AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO,LIMA,13,2,15.38,29450718.0,False
HOSPITAL DE APOYO DEPARTAMENTAL MARIA AUXILIADORA,LIMA,13,2,15.38,3442087.0,False
MUNICIPALIDAD PROVINCIAL DE HUANCABAMBA,PIURA,13,2,15.38,6682515.0,False
DIRECCION REGIONAL AGRARIA CAJAMARCA,CAJAMARCA,14,2,14.29,21030184.0,False
EMPRESA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE HUANUCO,HUANUCO,7,1,14.29,3147443.0,False
GOBIERNO REGIONAL DE CUSCO - HOSPITAL REGIONAL CUSCO,CUSCO,7,1,14.29,4850735.0,False
GOBIERNO REGIONAL DE PUNO- HOSPITAL REGIONAL MANUEL NUÑEZ BUTRON,PUNO,7,1,14.29,1264239.0,False
GOBIERNO REGIONAL DEL CALLAO - DIRECCION DE SALUD I CALLAO,CALLAO,7,1,14.29,1056759.0,False
GOBIERNO REGIONAL HUANCAVELICA UNIDAD EJECUTORA RED DE SALUD TAYACAJA,HUANCAVELICA,7,1,14.29,610795.0,False
HOSPITAL NACIONAL SERGIO E. BERNALES,LIMA,7,1,14.29,1809801.0,False
MUNICIPALIDAD DISTRITAL DE ONGOY,APURIMAC,7,1,14.29,3775826.0,False
MUNICIPALIDAD DISTRITAL DE PICHANAKI,JUNIN,7,1,14.29,1440835.0,False
MUNICIPALIDAD PROVINCIAL DE ANGARAES - LIRCAY,HUANCAVELICA,7,1,14.29,2732713.0,False
MUNICIPALIDAD PROVINCIAL DE CHUPACA,JUNIN,7,1,14.29,1125020.0,False
MUNICIPALIDAD PROVINCIAL DE PURUS,UCAYALI,7,1,14.29,6645609.0,False
UNIVERSIDAD NACIONAL DE MOQUEGUA,MOQUEGUA,7,1,14.29,2448156.0,False
GOBIERNO REGIONAL DE HUANUCO - DIRECCIÓN REGIONAL DE SALUD - HUANUCO,HUANUCO,8,1,12.5,1333189.0,False
GOBIERNO REGIONAL DE ICA SEDE CENTRAL,ICA,8,1,12.5,1726418.0,False
MUNICIPALIDAD DISTRITAL DE CARMEN DE LA LEGUA REYNOSO,CALLAO,8,1,12.5,4003426.0,False
MUNICIPALIDAD DISTRITAL DE CHORRILLOS,LIMA,8,1,12.5,8492461.0,False
MUNICIPALIDAD DISTRITAL DE EL PORVENIR - TRUJILLO,LA LIBERTAD,8,1,12.5,15548999.0,False
MUNICIPALIDAD DISTRITAL DE KAÑARIS,LAMBAYEQUE,8,1,12.5,944251.0,False
MUNICIPALIDAD PROVINCIAL DE OXAPAMPA,PASCO,8,1,12.5,3278489.0,False
MUNICIPALIDAD PROVINCIAL DE SECHURA,PIURA,8,1,12.5,5413241.0,False
SERVICIO DE ADMINISTRACION TRIBUTARIA DE LIMA,LIMA,8,1,12.5,9980891.0,False
UNIDAD EJECUTORA FRENTE POLICIAL PUNO,PUNO,8,1,12.5,1107180.0,False
UNIVERSIDAD NACIONAL DE PIURA,PIURA,8,1,12.5,2202087.0,False
EMPRESA DE GENERACION ELECTRICA SAN GABAN S.A.,PUNO,9,1,11.11,1663725.0,False
EMPRESA REGIONAL DE SERVICIO PUBLICO DE ELECTRICIDAD DEL CENTRO SA ELECTROCENTRO S.A.,JUNIN,9,1,11.11,6454792.0,False
ENTIDAD PRESTADORA DE SERVICIO DE SANEAMIENTO DE LORETO S.A.,LORETO,9,1,11.11,1761964.0,False
GOBIERNO REGIONAL DE AREQUIPA - INSTITUTO REGIONAL DE ENFERMEDADES NEOPLASICAS DEL SUR,AREQUIPA,9,1,11.11,2968869.0,False
GOBIERNO REGIONAL DE LIMA - HOSPITAL BARRANCA-CAJATAMBO Y SERVICIOS BASICOS DE SALUD,LIMA,9,1,11.11,2331638.0,False
GOBIERNO REGIONAL DE MOQUEGUA - HOSPITAL REGIONAL DE MOQUEGUA,MOQUEGUA,9,1,11.11,3288879.0,False
HOSPITAL NACIONAL VICTOR LARCO HERRERA,LIMA,9,1,11.11,3128873.0,False
MINAG - PROYECTO ESPECIAL PICHIS PALCAZU,JUNIN,9,1,11.11,2869427.0,False
MUNICIPALIDAD DISTRITAL DE LA COIPA,CAJAMARCA,9,1,11.11,14561669.0,False
MUNICIPALIDAD DISTRITAL DE SAN MIGUEL,LIMA,9,1,11.11,1447044.0,False
GOBIERNO REGIONAL DE AREQUIPA - PROYECTO ESPECIAL MAJES-SIGUAS  AUTODEMA,AREQUIPA,10,1,10.0,4823169.0,False
GOBIERNO REGIONAL DE LORETO-SALUD LORETO Y PERIFERICOS,LORETO,10,1,10.0,2495926.0,False
GOBIERNO REGIONAL DE SAN MARTÍN-SALUD ALTO MAYO,SAN MARTIN,10,1,10.0,1862826.0,False
MUNICIPALIDAD DISTRITAL DE COMAS - LIMA,LIMA,10,1,10.0,13593780.0,False
MUNICIPALIDAD DISTRITAL DE INKAWASI,CUSCO,10,1,10.0,1328406.0,False
MUNICIPALIDAD DISTRITAL DE LA PUNTA,CALLAO,10,1,10.0,1518684.0,False
MUNICIPALIDAD DISTRITAL DE SANTA ANITA,LIMA,10,1,10.0,13616420.0,False
MUNICIPALIDAD DISTRITAL DE SUYO,PIURA,10,1,10.0,2462239.0,False
MUNICIPALIDAD PROVINCIAL DE SUCRE - QUEROBAMBA,AYACUCHO,10,1,10.0,1386262.0,False
MUNICIPALIDAD DISTRITAL DE ASILLO,PUNO,11,1,9.09,1740306.0,False
MUNICIPALIDAD DISTRITAL DE MAZAMARI,JUNIN,11,1,9.09,6992295.0,False
MUNICIPALIDAD DISTRITAL DE SAN JERONIMO - CUSCO,CUSCO,11,1,9.09,7374322.0,False
MUNICIPALIDAD DISTRITAL VILLA VIRGEN,CUSCO,11,1,9.09,1729921.0,False
MUNICIPALIDAD PROVINCIAL DE CHINCHA - CHINCHA ALTA,ICA,11,1,9.09,7126843.0,False
MUNICIPALIDAD PROVINCIAL DE HUARMEY,ANCASH,11,1,9.09,4644831.0,False
MUNICIPALIDAD PROVINCIAL DE TALARA - PARIÑAS,PIURA,11,1,9.09,6455987.0,False
GOBIERNO REGIONAL DE LA LIBERTAD-GERENCIA REGIONAL DE TRANSPORTE Y COMUNICACIONES,LA LIBERTAD,12,1,8.33,4356194.0,False
INSTITUTO NACIONAL DE ESTADISTICA,LIMA,12,1,8.33,8819443.0,False
MUNICIPALIDAD DISTRITAL DE LA VICTORIA - LIMA,LIMA,12,1,8.33,6425271.0,False
MUNICIPALIDAD DISTRITAL DE MARA,APURIMAC,12,1,8.33,2133982.0,False
MUNICIPALIDAD DISTRITAL DE URARINAS,LORETO,12,1,8.33,4141988.0,False
MUNICIPALIDAD PROVINCIAL DE CAÑETE - SAN VICENTE DE CAÑETE,LIMA,12,1,8.33,7717410.0,False
MUNICIPALIDAD PROVINCIAL DE HUANCANE,PUNO,12,1,8.33,2230784.0,False
EMPRESA DE SERVICIO PUBLICO DE ELECTRICIDAD DEL NOR OESTE DEL PERU S.A. ELECTRO NOR OESTE SA,PIURA,13,1,7.69,8872920.0,False
GOBIERNO REGIONAL DE AREQUIPA-HOSPITAL REGIONAL HONORIO DELGADO,AREQUIPA,13,1,7.69,3887577.0,False
MUNICIPALIDAD DISTRITAL DE ATE - VITARTE,LIMA,13,1,7.69,17688774.0,False
MUNICIPALIDAD DISTRITAL DE PARCOY,LA LIBERTAD,13,1,7.69,13197887.0,False
MUNICIPALIDAD DISTRITAL DE YARABAMBA,AREQUIPA,13,1,7.69,1951404.0,False
MUNICIPALIDAD PROVINCIAL DE TUMBES,TUMBES,13,1,7.69,9122581.0,False
UNIVERSIDAD NACIONAL HERMILIO VALDIZAN,HUANUCO,13,1,7.69,4155248.0,False
GOBIERNO REGIONAL DE HUANCAVELICA Sede Central,HUANCAVELICA,14,1,7.14,7227198.0,False
MUNICIPALIDAD DISTRITAL DE CCATCCA,CUSCO,14,1,7.14,2270768.0,False
MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE,LAMBAYEQUE,14,1,7.14,11746964.0,False
COMANDO CONJUNTO DE LAS FUERZAS ARMADAS,LIMA,14,0,0.0,2961884.0,False
GOBIERNO REGIONAL DE HUANCAVELICA-SALUD,HUANCAVELICA,14,0,0.0,2086020.0,False
GOBIERNO REGIONAL DE SAN MARTIN-TRANSPORTES,SAN MARTIN,14,0,0.0,1813306.0,False
MUNICIPALIDAD DISTRITAL DE CAHUAPANAS,LORETO,14,0,0.0,23285397.0,False
MUNICIPALIDAD DISTRITAL DE MIRAFLORES - LIMA,LIMA,14,0,0.0,31758070.0,False
MUNICIPALIDAD DISTRITAL DE PUQUINA,MOQUEGUA,14,0,0.0,5482785.0,False
MUNICIPALIDAD DISTRITAL DE SAN JUAN DE LURIGANCHO,LIMA,14,0,0.0,23956856.0,False
MUNICIPALIDAD PROVINCIAL DE JAEN,CAJAMARCA,14,0,0.0,17998149.0,False
PROGRAMA EDUCACION BASICA PARA TODOS UE 026,LIMA,14,0,0.0,30446037.0,False
GOBIERNO REGIONAL DE CUSCO - PROYECTO ESPECIAL REGIONAL PLAN COPESCO,CUSCO,13,0,0.0,6014055.0,False
GOBIERNO REGIONAL DE TACNA RED DE SALUD TACNA,TACNA,13,0,0.0,1772362.0,False
GOBIERNO REGIONAL DE UCAYALI-DIRECCIÓN REGIONAL SECTORIAL DE TRANSPORTES Y COMUNICACIONES,UCAYALI,13,0,0.0,8411319.0,False
MUNICIPALIDAD DISTRITAL DE EL ALGARROBAL,MOQUEGUA,13,0,0.0,7291304.0,False
MUNICIPALIDAD DISTRITAL DE KIMBIRI,CUSCO,13,0,0.0,7013871.0,False
MUNICIPALIDAD DISTRITAL DE PACHACAMAC,LIMA,13,0,0.0,10465379.0,False
MUNICIPALIDAD PROVINCIAL DE HUALGAYOC - BAMBAMARCA,CAJAMARCA,13,0,0.0,10271446.0,False
MUNICIPALIDAD PROVINCIAL DE ICA,ICA,13,0,0.0,30264494.0,False
MUNICIPALIDAD PROVINCIAL DE TAYACAJA - PAMPAS,HUANCAVELICA,13,0,0.0,6291050.0,False
PATRONATO DEL PARQUE DE LAS LEYENDAS - FELIPE BENAVIDES BARREDA,LIMA,13,0,0.0,3433299.0,False
EMPRESA DE SERVICIO PUBLICO DE ELECTRICIDAD ELECTRONORTE S.A.,LAMBAYEQUE,12,0,0.0,6476235.0,False
GOBIERNO REGIONAL DE MADRE DE DIOS-DIRECCION REGIONAL DE TRANSPORTE Y COMUNICACIONES,MADRE DE DIOS,12,0,0.0,2348143.0,False
MUNICIPALIDAD DISTRITAL DE CHUGAY,LA LIBERTAD,12,0,0.0,4330000.0,False
MUNICIPALIDAD DISTRITAL DE HUARMACA,PIURA,12,0,0.0,8301161.0,False
MUNICIPALIDAD DISTRITAL DE ITE,TACNA,12,0,0.0,3873462.0,False
MUNICIPALIDAD DISTRITAL DE LIVITACA,CUSCO,12,0,0.0,2199222.0,False
MUNICIPALIDAD DISTRITAL DE TABACONAS,CAJAMARCA,12,0,0.0,19439145.0,False
MUNICIPALIDAD DISTRITAL DE VELILLE,CUSCO,12,0,0.0,8743405.0,False
MUNICIPALIDAD PROVINCIAL DE CHUMBIVILCAS - SANTO TOMAS,CUSCO,12,0,0.0,1989654.0,False
MUNICIPALIDAD PROVINCIAL DE HUANCAVELICA,HUANCAVELICA,12,0,0.0,3774683.0,False
MUNICIPALIDAD PROVINCIAL DE HUAYLAS - CARAZ,ANCASH,12,0,0.0,2067173.0,False
MUNICIPALIDAD PROVINCIAL DE PAITA,PIURA,12,0,0.0,5261823.0,False
MUNICIPALIDAD PROVINCIAL DE RIOJA,SAN MARTIN,12,0,0.0,10572587.0,False
MUNICIPALIDAD PROVINCIAL DE YAULI - LA OROYA,JUNIN,12,0,0.0,14909197.0,False
ENTIDAD PRESTADORA DE SERVICIO DE SANEAMIENTO GRAU S.A.,PIURA,11,0,0.0,13665851.0,False
GOBIERNO REGIONAL DE AREQUIPA-ZONA DE DESARROLLO INTEGRAL DE SALUD - HOSPITAL GOYENECHE,AREQUIPA,11,0,0.0,1942720.0,False
GOBIERNO REGIONAL DE HUANCAVELICA-HOSPITAL DEPARTAMENTAL DE HUANCAVELICA,HUANCAVELICA,11,0,0.0,1466252.0,False
GOBIERNO REGIONAL DE JUNIN-TRANSPORTES,JUNIN,11,0,0.0,11328422.0,False
GOBIERNO REGIONAL DE PUNO - PROGRAMA DE APOYO AL DESARROLLO RURAL ANDINO - PRADERA I,PUNO,11,0,0.0,3363604.0,False
MUNICIPALIDAD DISTRITAL DE ALTO DE LA ALIANZA,TACNA,11,0,0.0,3501889.0,False
MUNICIPALIDAD DISTRITAL DE CASCA,ANCASH,11,0,0.0,8438667.0,False
MUNICIPALIDAD DISTRITAL DE FRIAS,PIURA,11,0,0.0,6037890.0,False
MUNICIPALIDAD DISTRITAL DE HUALGAYOC,CAJAMARCA,11,0,0.0,11063476.0,False
MUNICIPALIDAD DISTRITAL DE ILABAYA,TACNA,11,0,0.0,2831504.0,False
MUNICIPALIDAD DISTRITAL DE IPARIA,UCAYALI,11,0,0.0,2541268.0,False
MUNICIPALIDAD DISTRITAL DE LURIGANCHO (CHOSICA),LIMA,11,0,0.0,4599357.0,False
MUNICIPALIDAD DISTRITAL DE OLMOS,LAMBAYEQUE,11,0,0.0,14900870.0,False
MUNICIPALIDAD DISTRITAL DE PASTAZA,LORETO,11,0,0.0,18916149.0,False
MUNICIPALIDAD DISTRITAL DE TAMBOGRANDE,PIURA,11,0,0.0,3573239.0,False
MUNICIPALIDAD DISTRITAL DE VILLA EL SALVADOR,LIMA,11,0,0.0,2787763.0,False
MUNICIPALIDAD PROVINCIAL DE CASMA,ANCASH,11,0,0.0,2721080.0,False
MUNICIPALIDAD PROVINCIAL DE CHANCHAMAYO,JUNIN,11,0,0.0,6476309.0,False
MUNICIPALIDAD PROVINCIAL DE CHUCUITO - JULI,PUNO,11,0,0.0,3313810.0,False
MUNICIPALIDAD PROVINCIAL DE CONCEPCION,JUNIN,11,0,0.0,7022911.0,False
MUNICIPALIDAD PROVINCIAL DE LAMPA,PUNO,11,0,0.0,2100576.0,False
MUNICIPALIDAD PROVINCIAL DE UCAYALI - CONTAMANA,LORETO,11,0,0.0,9008728.0,False
MUNICIPALIDAD PROVINCIAL DE URUBAMBA,CUSCO,11,0,0.0,3828586.0,False
"SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE CHIMBOTE, CASMA Y HUARMEY",ANCASH,11,0,0.0,17699052.0,False
EMPRESA MUNICIPAL DE SANEAMIENTO BASICO DE PUNO SOCIEDAD ANONIMA,PUNO,10,0,0.0,2489850.0,False
ENTIDAD PRESTADORA DE SERVICIO DE SANEAMIENTO CHAVIN S.A.,ANCASH,10,0,0.0,1999222.0,False
GOBIERNO REGIONAL DE ANCASH-SALUD UTES ELEAZAR GUZMAN BARRON,ANCASH,10,0,0.0,2056657.0,False
GOBIERNO REGIONAL DE PIURA-SALUD LUCIANO CASTILLO COLONNA,PIURA,10,0,0.0,2353877.0,False
GOBIERNO REGIONAL DEL CUSCO - RED DE SERVICIOS DE SALUD CUSCO SUR,CUSCO,10,0,0.0,1684277.0,False
INSTITUTO NACIONAL DE CIENCIAS NEUROLOGICAS - INCN,LIMA,10,0,0.0,5829573.0,False
INSTITUTO VIAL PROVINCIAL MUNICIPAL DE SAN MARCOS,CAJAMARCA,10,0,0.0,1102527.0,False
MUNICIPALIDAD DISTRITAL DE CUYOCUYO,PUNO,10,0,0.0,3419746.0,False
MUNICIPALIDAD DISTRITAL DE MANANTAY,UCAYALI,10,0,0.0,1958865.0,False
MUNICIPALIDAD DISTRITAL DE PAMPACHIRI,APURIMAC,10,0,0.0,9267287.0,False
MUNICIPALIDAD DISTRITAL DE PITUMARCA,CUSCO,10,0,0.0,1620711.0,False
MUNICIPALIDAD DISTRITAL DE PONTO,ANCASH,10,0,0.0,3812963.0,False
MUNICIPALIDAD DISTRITAL DE SAN BORJA,LIMA,10,0,0.0,3517623.0,False
MUNICIPALIDAD DISTRITAL DE SAN GABAN,PUNO,10,0,0.0,3988026.0,False
MUNICIPALIDAD DISTRITAL DE SAPALLANGA,JUNIN,10,0,0.0,3661737.0,False
MUNICIPALIDAD DISTRITAL DE TAHUANIA,UCAYALI,10,0,0.0,5465088.0,False
MUNICIPALIDAD PROVINCIAL DE FERREÑAFE,LAMBAYEQUE,10,0,0.0,2617543.0,False
MUNICIPALIDAD PROVINCIAL DE PUERTO INCA,HUANUCO,10,0,0.0,4338815.0,False
DIRECCION DE REDES INTEGRADAS DE SALUD LIMA NORTE,LIMA,9,0,0.0,5394243.0,False
GOBIERNO REGIONAL DE APURIMAC-SALUD CHANKA,APURIMAC,9,0,0.0,994431.0,False
GOBIERNO REGIONAL DE CAJAMARCA - UNIDAD EJECUTORA SALUD CAJAMARCA,CAJAMARCA,9,0,0.0,1945706.0,False
GOBIERNO REGIONAL DE HUANUCO-HOSPITAL DE HUANUCO HERMILIO VALDIZAN,HUANUCO,9,0,0.0,1261111.0,False
GOBIERNO REGIONAL DE SAN MARTIN-SALUD,SAN MARTIN,9,0,0.0,1584470.0,False
MUNICIPALIDAD DISTRITAL DE CANCHAQUE,PIURA,9,0,0.0,4676510.0,False
MUNICIPALIDAD DISTRITAL DE CIENEGUILLA,LIMA,9,0,0.0,4965101.0,False
MUNICIPALIDAD DISTRITAL DE COISHCO,ANCASH,9,0,0.0,4316096.0,False
MUNICIPALIDAD DISTRITAL DE DESAGUADERO,PUNO,9,0,0.0,2544030.0,False
MUNICIPALIDAD DISTRITAL DE ITUATA,PUNO,9,0,0.0,1333685.0,False
MUNICIPALIDAD DISTRITAL DE JOSE LUIS BUSTAMANTE Y RIVERO,AREQUIPA,9,0,0.0,8117777.0,False
MUNICIPALIDAD DISTRITAL DE LOS OLIVOS (LAS PALMERAS),LIMA,9,0,0.0,7075846.0,False
MUNICIPALIDAD DISTRITAL DE MAZAN,LORETO,9,0,0.0,6522749.0,False
MUNICIPALIDAD DISTRITAL DE OMACHA,CUSCO,9,0,0.0,1813123.0,False
MUNICIPALIDAD DISTRITAL DE PAUCAS,ANCASH,9,0,0.0,2410266.0,False
MUNICIPALIDAD DISTRITAL DE PUERTO BERMUDEZ,PASCO,9,0,0.0,3227541.0,False
MUNICIPALIDAD DISTRITAL DE SANTA TERESA,CUSCO,9,0,0.0,1570218.0,False
MUNICIPALIDAD DISTRITAL DE SURQUILLO,LIMA,9,0,0.0,8286716.0,False
MUNICIPALIDAD DISTRITAL DE VILCABAMBA - LA CONVENCION,CUSCO,9,0,0.0,1816189.0,False
MUNICIPALIDAD DISTRITAL DE VISTA ALEGRE - NAZCA,ICA,9,0,0.0,9414217.0,False
MUNICIPALIDAD DISTRITAL DE VIZCATAN DEL ENE,JUNIN,9,0,0.0,14091992.0,False
MUNICIPALIDAD PROVINCIAL DE CANAS - YANAOCA,CUSCO,9,0,0.0,1462149.0,False
MUNICIPALIDAD PROVINCIAL DE QUISPICANCHIS - URCOS,CUSCO,9,0,0.0,998902.0,False
MUNICIPALIDAD PROVINCIAL DEL DATEM DEL MARAÑON,LORETO,9,0,0.0,3795257.0,False
PROGRAMA NACIONAL DE CENTROS JUVENILES,LIMA,9,0,0.0,2888513.0,False
SERVICIO MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE CHINCHA S.A.,ICA,9,0,0.0,3595411.0,False
UNIDAD DE GESTIÓN DE APOYO AL DESARROLLO SOSTENIBLE DEL VRAEM,CUSCO,9,0,0.0,2228230.0,False
UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE,LIMA,9,0,0.0,4901202.0,False
UNIVERSIDAD NACIONAL DEL CALLAO,LIMA,9,0,0.0,2662766.0,False
UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC,9,0,0.0,2183301.0,False
UNIVERSIDAD NACIONAL SAN ANTONIO DE ABAD DEL CUSCO,CUSCO,9,0,0.0,3521895.0,False
DIRECCION REGIONAL DE EDUCACION  DE  LIMA METROPOLITANA,LIMA,8,0,0.0,1208539.0,False
EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE ICA S.A.,ICA,8,0,0.0,1257009.0,False
EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE SAN MARTIN S.A.,SAN MARTIN,8,0,0.0,2337035.0,False
GOBIERNO REGIONAL DE AYACUCHO - PROGRAMA REGIONAL DE IRRIGACION Y DESARROLLO RURAL INTEGRADO,AYACUCHO,8,0,0.0,2104869.0,False
GOBIERNO REGIONAL DE CUSCO-AGRICULTURA,CUSCO,8,0,0.0,2579926.0,False
GOBIERNO REGIONAL DE HUANCAVELICA-TRANSPORTES,HUANCAVELICA,8,0,0.0,9295380.0,False
GOBIERNO REGIONAL DE LIMA - HOSPITAL DE APOYO REZOLA,LIMA,8,0,0.0,1867058.0,False
GOBIERNO REGIONAL DE PUNO-TRANSPORTES,PUNO,8,0,0.0,4948530.0,False
MINAG - PROYECTO ESPECIAL BINACIONAL DESARROLLO INTEGRAL DE LA CUENCA DEL RIO PUTUMAYO,LORETO,8,0,0.0,1507658.0,False
MUNICIPALIDAD DISTRITAL CONSTITUCION - PASCO,PASCO,8,0,0.0,3895271.0,False
MUNICIPALIDAD DISTRITAL DE ALTO SELVA ALEGRE,AREQUIPA,8,0,0.0,4706308.0,False
MUNICIPALIDAD DISTRITAL DE AMARILIS,HUANUCO,8,0,0.0,3224954.0,False
MUNICIPALIDAD DISTRITAL DE ANCHONGA,HUANCAVELICA,8,0,0.0,9835716.0,False
MUNICIPALIDAD DISTRITAL DE AYAPATA,PUNO,8,0,0.0,2666864.0,False
MUNICIPALIDAD DISTRITAL DE CAMPO VERDE,UCAYALI,8,0,0.0,2124009.0,False
MUNICIPALIDAD DISTRITAL DE CHAMACA,CUSCO,8,0,0.0,6013068.0,False
MUNICIPALIDAD DISTRITAL DE CHARACATO,AREQUIPA,8,0,0.0,11172365.0,False
MUNICIPALIDAD DISTRITAL DE CONDEBAMBA,CAJAMARCA,8,0,0.0,6180312.0,False
MUNICIPALIDAD DISTRITAL DE CORONEL GREGORIO ALBARRACIN LANCHIPA,TACNA,8,0,0.0,7979992.0,False
MUNICIPALIDAD DISTRITAL DE IMAZA,AMAZONAS,8,0,0.0,2221978.0,False
MUNICIPALIDAD DISTRITAL DE LA MORADA,HUANUCO,8,0,0.0,10033679.0,False
MUNICIPALIDAD DISTRITAL DE MARCABAL,LA LIBERTAD,8,0,0.0,2291982.0,False
MUNICIPALIDAD DISTRITAL DE POROY,CUSCO,8,0,0.0,917517.0,False
MUNICIPALIDAD DISTRITAL DE SAN ANTON,PUNO,8,0,0.0,4235512.0,False
MUNICIPALIDAD DISTRITAL DE SANTA ROSA DEL ALTO YANAJANCA,HUANUCO,8,0,0.0,12578803.0,False
MUNICIPALIDAD DISTRITAL DE SANTIAGO DE SURCO,LIMA,8,0,0.0,10031795.0,False
MUNICIPALIDAD DISTRITAL DE TAMBURCO,APURIMAC,8,0,0.0,1459188.0,False
MUNICIPALIDAD PROVINCIAL DE CARAVELI,AREQUIPA,8,0,0.0,913744.0,False
MUNICIPALIDAD PROVINCIAL DE CARHUAZ,ANCASH,8,0,0.0,7356938.0,False
MUNICIPALIDAD PROVINCIAL DE CARLOS FERMIN FITZCARRALD,ANCASH,8,0,0.0,4812646.0,False
MUNICIPALIDAD PROVINCIAL DE HUANTA,AYACUCHO,8,0,0.0,5892793.0,False
SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LA LIBERTAD,LA LIBERTAD,8,0,0.0,11804827.0,False
SERVICIO INDUSTRIAL DE LA MARINA S.A.,CALLAO,8,0,0.0,4509577.0,False
EMPRESA  MUNICIPAL DE  AGUA POTABLE Y ALCANTERILLADO DE  BAGUA SRL,AMAZONAS,7,0,0.0,9914222.0,False
