comprador,departamento,procesos_adjudicados,con_postor_unico,pct_postor_unico,monto_total,supera_minimo
GOBIERNO REGIONAL DE MOQUEGUA SEDE CENTRAL,MOQUEGUA,35,2,5.71,6203097.0,True
GOBIERNO REGIONAL DE CAJAMARCA SEDE CENTRAL,CAJAMARCA,19,1,5.26,82381981.0,True
SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA - SUNAT,LIMA,39,2,5.13,190079041.0,True
GOBIERNO REGIONAL DE CALLAO SEDE CENTRAL,CALLAO,20,1,5.0,80833721.0,True
GOBIERNO REGIONAL DE ICA-HOSPITAL REGIONAL DE ICA,ICA,20,1,5.0,3714292.0,True
GOBIERNO REGIONAL DE LORETO SEDE CENTRAL,LORETO,20,1,5.0,30603260.0,True
GOBIERNO REGIONAL DE PIURA SEDE CENTRAL,PIURA,20,1,5.0,203762043.0,True
MUNICIPALIDAD PROVINCIAL DE ISLAY - MOLLENDO,AREQUIPA,20,1,5.0,4081734.0,True
GOBIERNO REGIONAL DEL CALLAO - COMITE DE ADMINISTRACION DEL FONDO EDUCATIVO DEL CALLAO,CALLAO,21,1,4.76,3695263.0,True
MUNICIPALIDAD DISTRITAL DE MARCONA,ICA,44,2,4.55,294902083.0,True
EMPRESA CONCESIONARIA DE ELECTRICIDAD DE UCAYALI S.A.,UCAYALI,22,1,4.55,9596106.0,True
MUNICIPALIDAD PROVINCIAL DE HUAMANGA,AYACUCHO,22,1,4.55,4248622.0,True
ENTIDAD PRESTADORA DE SERVICIO DE SANEAMIENTO DE TACNA S.A,TACNA,23,1,4.35,9234515.0,True
MUNICIPALIDAD DISTRITAL DE SAN ANTONIO,MOQUEGUA,47,2,4.26,10477852.0,True
II DIRECCION TERRITORIAL DE POLICIA CHICLAYO,LAMBAYEQUE,24,1,4.17,4348306.0,True
MUNICIPALIDAD DISTRITAL DE SAN ISIDRO - LIMA,LIMA,25,1,4.0,3999615.0,True
MUNICIPALIDAD PROVINCIAL DE ABANCAY,APURIMAC,25,1,4.0,6978113.0,True
GOBIERNO REGIONAL DE AYACUCHO SEDE CENTRAL,AYACUCHO,152,6,3.95,113429527.0,True
GOBIERNO REGIONAL DE HUANUCO SEDE CENTRAL,HUANUCO,51,2,3.92,46336572.0,True
GOBIERNO REGIONAL DE TACNA Sede Central,TACNA,26,1,3.85,29401411.0,True
PROGRAMA DE DESARROLLO PRODUCTIVO AGRARIO RURAL - AGRO RURAL,LIMA,79,3,3.8,25618352.0,True
GOBIERNO REGIONAL DE LA LIBERTAD - PROYECTO ESPECIAL CHAVIMOCHIC,LA LIBERTAD,27,1,3.7,12612390.0,True
MUNICIPALIDAD DISTRITAL DE EL AGUSTINO,LIMA,29,1,3.45,12389264.0,True
GOBIERNO REGIONAL DE ANCASH - SEDE CENTRAL,ANCASH,37,1,2.7,6303103.0,True
GOBIERNO REGIONAL DE LAMBAYEQUE Sede Central,LAMBAYEQUE,40,1,2.5,10765845.0,True
MUNICIPALIDAD PROVINCIAL DE JORGE BASADRE - LOCUMBA,TACNA,43,1,2.33,10407974.0,True
