ccpp_id,departamento,distrito,poblacion,peso_muestral,ipress_mas_cercana_pie,t_pie_seg,dist_pie_m,t_pie_min,alcanzable_pie,snap_colapsado_pie
CP002570,AYACUCHO,HUANCAPI,210.12940979003906,210.12940979003906,00011433,219.8,305.5,3.6633333333333336,True,False
CP002622,AYACUCHO,ALCAMENCA,1221.6192321777344,1221.6192321777344,00003498,334.2,464.1,5.569999999999999,True,False
CP002631,AYACUCHO,ALCAMENCA,1204.1021118164062,1204.1021118164062,00003510,408.7,567.5,6.8116666666666665,True,False
CP002638,AYACUCHO,ALCAMENCA,0.0,0.0,00003499,245.0,340.4,4.083333333333333,True,False
CP002640,AYACUCHO,CANARIA,1749.8651504516602,1749.8651504516602,00003824,334.3,464.5,5.571666666666667,True,False
CP002723,AYACUCHO,CAYARA,1100.7772312164307,1100.7772312164307,00003828,394.1,547.1,6.568333333333333,True,False
CP002751,AYACUCHO,COLCA,129.2059783935547,129.2059783935547,00003835,246.4,342.2,4.1066666666666665,True,False
CP002756,AYACUCHO,HUAMANQUIQUIA,315.2561798095703,315.2561798095703,00003831,77.4,107.2,1.29,True,False
CP002777,AYACUCHO,HUANCARAYLLA,807.0614776611328,807.0614776611328,00003838,187.9,261.1,3.131666666666667,True,False
CP002784,AYACUCHO,HUALLA,1058.1929931640625,1058.1929931640625,00003829,352.3,489.4,5.871666666666667,True,False
CP002805,AYACUCHO,HUALLA,1738.8028564453125,1738.8028564453125,00003830,487.6,677.1,8.126666666666667,True,False
CP002829,AYACUCHO,SARHUA,2401.465072631836,2401.465072631836,00003512,212.6,295.2,3.5433333333333334,True,False
CP002859,AYACUCHO,VILCANCHOS,2072.411331176758,2072.411331176758,00003628,44.1,61.3,0.735,True,False
CP002967,AYACUCHO,VILCAS HUAMAN,2123.7493286132812,2123.7493286132812,00011435,85.2,118.1,1.4200000000000002,True,False
CP003022,AYACUCHO,CARHUANCA,823.8563919067383,823.8563919067383,00003845,75.3,104.4,1.255,True,False
CP003092,AYACUCHO,INDEPENDENCIA,0.0,0.0,00003844,991.7,1377.3,16.528333333333332,True,False
CP003110,AYACUCHO,SAURAMA,1206.491470336914,1206.491470336914,00003846,254.5,353.4,4.241666666666666,True,False
CP003117,AYACUCHO,VISCHONGO,2589.7260818481445,2589.7260818481445,00006609,233.0,323.6,3.8833333333333333,True,False
CP003661,AYACUCHO,VILCAS HUAMAN,3129.617088317871,3129.617088317871,00011435,591.7,821.7,9.861666666666668,True,False
CP003719,AYACUCHO,AUCARA,4299.03360748291,4299.03360748291,00003713,722.7,1003.5,12.045,True,False
CP003793,AYACUCHO,CABANA,5486.144664764404,5486.144664764404,00003713,1528.4,2122.2,25.473333333333336,True,False
CP003823,AYACUCHO,CARMEN SALCEDO,3283.3308715820312,3283.3308715820312,00003710,4.4,6.1,0.07333333333333333,True,False
CP003847,AYACUCHO,CHIPAO,535.1390953063965,535.1390953063965,00003711,305.6,424.3,5.093333333333334,True,False
CP003937,AYACUCHO,HUAC-HUAS,2990.552474975586,2990.552474975586,00003678,163.7,227.1,2.728333333333333,True,False
CP003948,AYACUCHO,LARAMATE,601.9064064025879,601.9064064025879,00003680,288.5,400.9,4.808333333333334,True,False
CP004176,AYACUCHO,OTOCA,3154.984588623047,3154.984588623047,00003690,62.9,87.5,1.0483333333333333,True,False
CP004190,AYACUCHO,SAN PEDRO DE PALCO,558.4266662597656,558.4266662597656,00003687,214.0,297.5,3.566666666666667,True,False
CP004264,AYACUCHO,SANTA ANA DE HUAYCAHUACHO,643.3231010437012,643.3231010437012,00003717,0.0,0.0,0.0,True,True
CP004269,AYACUCHO,QUEROBAMBA,1827.2440090179443,1827.2440090179443,00011434,143.7,199.7,2.395,True,False
CP004308,AYACUCHO,MORCOLLA,236.52635955810547,236.52635955810547,00003810,0.0,0.0,0.0,True,True
CP004340,AYACUCHO,PAICO,782.7464752197266,782.7464752197266,00003813,90.6,125.7,1.51,True,False
CP004353,AYACUCHO,SAN PEDRO DE LARCAY,0.0,0.0,00003815,406.8,565.2,6.78,True,False
CP004371,AYACUCHO,SANTIAGO DE PAUCARAY,663.4002990722656,663.4002990722656,00003813,1724.3,2395.2,28.738333333333333,True,False
CP004394,AYACUCHO,SORAS,564.3725185394287,564.3725185394287,00003818,129.3,179.5,2.1550000000000002,True,False
CP004435,AYACUCHO,ASQUIPATA,0.0,0.0,00003821,321.8,447.1,5.363333333333333,True,False
CP004529,AYACUCHO,OCAÑA,2738.2802734375,2738.2802734375,00003686,13317.6,18493.4,221.96,True,False
CP005001,AYACUCHO,PUQUIO,3675.9010343551636,3711.111695825189,00037081,2.4,3.2,0.04,True,False
CP005088,AYACUCHO,CHAVIÑA,398.03762674331665,524.4679378658392,00003513,182.0,252.8,3.033333333333333,True,False
CP005168,AYACUCHO,LUCANAS,1129.4950561523438,1259.7147233847509,00003720,47.0,65.3,0.7833333333333333,True,False
CP005252,AYACUCHO,SAISA,768.0635223388672,768.0635223388672,00003724,100.3,139.3,1.6716666666666666,True,False
CP005282,AYACUCHO,SAN CRISTOBAL,1263.0961322784424,1263.0961322784424,00003725,188.7,262.1,3.145,True,False
CP005293,AYACUCHO,SAN JUAN,723.780632019043,723.780632019043,00007627,0.0,0.0,0.0,True,True
CP005319,AYACUCHO,SAN PEDRO,589.6756973266602,589.6756973266602,00003735,110.0,152.7,1.8333333333333333,True,False
CP005402,AYACUCHO,SANTA LUCIA,73.87101745605469,73.87101745605469,00003743,73.2,101.8,1.22,True,False
CP005488,AYACUCHO,CORONEL CASTAÑEDA,868.2953720092773,868.2953720092773,00003529,52.7,73.1,0.8783333333333334,True,False
CP005512,AYACUCHO,PACAPAUSA,0.0,0.0,00003530,76.7,106.6,1.2783333333333333,True,False
CP005541,AYACUCHO,SAN FRANCISCO DE RAVACAYCO,0.0,0.0,00003531,276.4,383.6,4.6066666666666665,True,False
CP005569,AYACUCHO,UPAHUACHO,1126.7588806152344,1126.7588806152344,00003534,169.9,236.3,2.8316666666666666,True,False
CP005622,AYACUCHO,UPAHUACHO,2235.301483154297,2235.301483154297,00003533,340.1,472.4,5.668333333333334,True,False
CP006182,AYACUCHO,SANCOS,642.0419769287109,642.0419769287109,00003542,299.5,416.1,4.991666666666666,True,False
CP006258,AYACUCHO,SANCOS,3908.078357696533,3908.078357696533,00003740,310.5,431.3,5.175,True,False
CP006263,AYACUCHO,CORACORA,5111.282787322998,5111.282787322998,00011443,189.5,263.0,3.158333333333333,True,False
CP006292,AYACUCHO,CHUMPI,1808.6961784362793,1808.6961784362793,00003519,549.1,762.6,9.151666666666667,True,False
CP006340,AYACUCHO,PULLO,462.22388648986816,504.635559541437,00003535,428.5,595.4,7.141666666666667,True,False
CP006427,AYACUCHO,PUYUSCA,1131.4702343940735,1131.4702343940735,00003524,582.0,808.5,9.7,True,False
