cod_ipress,nombre,categoria,institucion,departamento,provincia,distrito,lon,lat
00023940,POLICLINICO ESPECIALIZADO LUZ Y VIDA,I-3,PRIVADO,AYACUCHO,HUAMANGA,AYACUCHO,-74.2235641,-13.1638737
00003725,CENTRO DE SALUD SAN CRISTOBAL,I-3,GOBIERNO REGIONAL,AYACUCHO,LUCANAS,SAN CRISTOBAL,-74.22242333,-14.74137
00024415,CERDENT,I-3,PRIVADO,LORETO,MAYNAS,IQUITOS,-73.2459262,-3.74857145
00004452,C.S.PUEBLO NUEVO,I-3,GOBIERNO REGIONAL,LAMBAYEQUE,FERREÑAFE,PUEBLO NUEVO,-79.79539264,-6.64023536
00000146,CENTRO DE SALUD I-3 BRETAÑA,I-3,GOBIERNO REGIONAL,LORETO,REQUENA,PUINAHUA,-74.34552947,-5.25607497
00018320,CENTRO MEDICO DELGADO,I-3,PRIVADO,LAMBAYEQUE,CHICLAYO,CHICLAYO,-79.8491954,-6.78368661
00017282,ESTABLECIMIENTO PENAL PICSI - CHICLAYO,I-3,INPE,LAMBAYEQUE,CHICLAYO,CHICLAYO,-79.7708275,-6.7195469
00017463,CENTRO MEDICO GANIMED EIRL,I-3,PRIVADO,LAMBAYEQUE,CHICLAYO,LA VICTORIA,-79.8392425,-6.8012929
00017613,CENTRO MEDICO ESPECIALIZADO “EMERGENCIAS VRAE S.A.C.”,I-3,PRIVADO,AYACUCHO,LA MAR,AYNA,-73.7373811,-12.688634
00018344,CARDIORED SAC.,I-4,PRIVADO,LORETO,MAYNAS,IQUITOS,-73.2602493,-3.7311528
00016699,CENTRO DE ATENCION PRIMARIA II PATAPO,I-3,ESSALUD,LAMBAYEQUE,CHICLAYO,PATAPO,-79.6387633,-6.73801432
00010736,CLÍNICA NAVAL DE IQUITOS,I-4,SANIDAD DE LA MARINA DE GUERRA DEL PERU,LORETO,MAYNAS,PUNCHANA,-73.24118167,-3.73172833
00023931,VIDAS & VIAS SAC,I-3,PRIVADO,LAMBAYEQUE,CHICLAYO,CHICLAYO,-79.8352022,-6.7669639
00025306,AMAZON'S PEDIATRY,I-3,PRIVADO,LORETO,MAYNAS,IQUITOS,-73.2533089,-3.7362321
00003680,CENTRO DE SALUD LARAMATE LUCANAS,I-3,GOBIERNO REGIONAL,AYACUCHO,LUCANAS,LARAMATE,-74.84135167,-14.28810167
00025198,"CENTRO MEDICO MILITAR ""DIVINO NIÑO DEL MILAGRO DE ETEN""",I-3,SANIDAD DEL EJERCITO DEL PERU,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,-79.91085983,-6.70213204
00008303,GASTROSALUD E.I.R.L,I-3,PRIVADO,LAMBAYEQUE,CHICLAYO,CHICLAYO,-79.8442978,-6.76773329
00029215,SAN AGUSTIN MEDICAL CENTER,I-3,PRIVADO,LAMBAYEQUE,CHICLAYO,CHICLAYO,-79.8394273,-6.7831206
00000185,CENTRO DE SALUD I-4 ORELLANA,I-4,GOBIERNO REGIONAL,LORETO,UCAYALI,VARGAS GUERRA,-75.15865947,-6.91476797
00004444,PITIPO,I-3,GOBIERNO REGIONAL,LAMBAYEQUE,FERREÑAFE,PITIPO,-79.7807221,-6.56545332
00004324,CERROPON,I-3,GOBIERNO REGIONAL,LAMBAYEQUE,CHICLAYO,CHICLAYO,-79.86825167,-6.78008667
00029506,CENTRO MEDICO CICSA,I-3,PRIVADO,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,-79.7997615,-6.6395862
00000023,C.S. I-3 9 DE OCTUBRE,I-3,GOBIERNO REGIONAL,LORETO,MAYNAS,BELEN,-73.24459961,-3.76457022
00003729,CENTRO DE SALUD RELAVE,I-3,GOBIERNO REGIONAL,AYACUCHO,PARINACOCHAS,PULLO,-74.057845,-15.61289833
00006898,CENTRO DE SALUD MOLLEPATA,I-3,GOBIERNO REGIONAL,AYACUCHO,HUAMANGA,AYACUCHO,-74.23280243,-13.12992682
00019627,CENTRO DEL RIÑON DEL NORTE S.A.C.,I-3,PRIVADO,LAMBAYEQUE,CHICLAYO,CHICLAYO,-79.8442978,-6.7765974
00027259,CENTRO ESPECIALIZADO DE REFERENCIA DE INFECCIONES DE TRANSMISIÓN SEXUAL VIH/SIDA (CERITSS),I-3,GOBIERNO REGIONAL,LORETO,MAYNAS,SAN JUAN BAUTISTA,-73.28537908,-3.7737716
00008229,AUNA CHICLAYO - SERVIMEDICOS,I-3,PRIVADO,LAMBAYEQUE,CHICLAYO,CHICLAYO,-79.83936376,-6.77306073
00011438,CENTRO DE ATENCION PRIMARIA II PUQUIO,I-3,ESSALUD,AYACUCHO,LUCANAS,PUQUIO,-74.1241222,-14.6934248
00008831,CENTRO DE ATENCIÓN PRIMARIA III MANUEL MANRIQUE NEVADO,I-3,ESSALUD,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,-79.8366956,-6.7597307
00027734,CENTRO DE SALUD MENTAL COMUNITARIO MUSUQ RIKCHAY,I-3,GOBIERNO REGIONAL,AYACUCHO,HUAMANGA,CARMEN ALTO,-74.221274,-13.1770617
00015816,MEDINOR,I-3,PRIVADO,LAMBAYEQUE,CHICLAYO,CHICLAYO,-79.8440458,-6.7810503
00028123,POLICLINICO MARISCAL CACERES,I-4,PRIVADO,AYACUCHO,HUAMANGA,AYACUCHO,-74.2235641,-13.1638737
00014219,UNIDAD MEDICA PERCY ROZAS,I-3,PRIVADO,LORETO,LORETO,TROMPETEROS,-75.05644,-3.80994
00027735,CENTRO DE SALUD MENTAL COMUNITARIO RUKANAS,I-3,GOBIERNO REGIONAL,AYACUCHO,LUCANAS,PUQUIO,-74.11536651,-14.68764485
00008083,Establecimiento de Salud FAP Hospital Regional del Norte Chiclayo,I-3,SANIDAD DE LA FUERZA AEREA DEL PERU,LAMBAYEQUE,CHICLAYO,CHICLAYO,-79.82084709,-6.77078206
00008235,SERVIMED PERU,I-3,PRIVADO,LAMBAYEQUE,CHICLAYO,CHICLAYO,-79.8424211,-6.7737665
00000291,SANTA ROSA DE RAMON CASTILLA,I-3,GOBIERNO REGIONAL,LORETO,MARISCAL RAMON CASTILLA,YAVARI,-69.95587232,-4.22660218
00004355,SANTA ROSA,I-3,GOBIERNO REGIONAL,LAMBAYEQUE,CHICLAYO,SANTA ROSA,-79.91967167,-6.880855
00026012,"CENTRO DE SALUD MENTAL COMUNITARIO ""LOS MOROCHUCOS""",I-3,GOBIERNO REGIONAL,AYACUCHO,CANGALLO,LOS MOROCHUCOS,-74.1959204,-13.5577859
00026060,IPRESS ACLAS I-3 8 DE MAYO,I-3,GOBIERNO REGIONAL,LORETO,UCAYALI,CONTAMANA,-75.00340041,-7.33378079
00026023,policlinico san lorenzo amazon,I-3,PRIVADO,LORETO,MAYNAS,IQUITOS,-73.2729406,-3.7641879
00025437,CLINICA DE LA PIEL & SPA - SKIN LASER,I-3,PRIVADO,LORETO,MAYNAS,IQUITOS,-73.24854066,-3.74374992
00000118,CABALLOCOCHA,I-4,GOBIERNO REGIONAL,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,-70.51696667,-3.90842333
00025569,CLÍNICA H&S SAC,I-3,PRIVADO,AYACUCHO,HUAMANGA,AYACUCHO,-74.2235641,-13.1638737
00026709,FISIO+MEDIC CONDUCTOR,I-3,PRIVADO,LAMBAYEQUE,CHICLAYO,CHICLAYO,-79.8442978,-6.7765974
00030388,CENTRO MEDICO VINALI,I-3,PRIVADO,LAMBAYEQUE,CHICLAYO,CHICLAYO,-79.84060057,-6.76789914
00006882,CENTRO DE SALUD LOS OLIVOS,I-3,GOBIERNO REGIONAL,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,-74.21291928,-13.17806438
00026014,CENTRO DE SALUD MENTAL COMUNITARIO BELLA ESMERALDA´´ - HUANTA,I-3,GOBIERNO REGIONAL,AYACUCHO,HUANTA,HUANTA,-74.24481828,-12.93720881
00025813,CENTRO MEDICO PSICOSOMATICO WARI S.A.C.,I-3,PRIVADO,AYACUCHO,HUAMANGA,JESUS NAZARENO,-74.21729077,-13.15592491
00000091,CENTRO DE SALUD I-4 NAUTA - NUCLEO BASE,I-4,GOBIERNO REGIONAL,LORETO,LORETO,NAUTA,-73.57614988,-4.50579542
00029421,MASVIDA,I-3,PRIVADO,LAMBAYEQUE,CHICLAYO,LA VICTORIA,-79.8421536,-6.8001959
00025711,CLINICA ODONTOLOGICA SELVA DENT,I-3,PRIVADO,LORETO,MAYNAS,IQUITOS,-73.2566639,-3.752486
