departamento,provincia,distrito,ubigeo,nivel,puntos,poblacion,poblacion_con_acceso_vial,pct_sin_acceso_vial,t_medio_pond_min,t_p50_pond_min,t_p90_pond_min
AYACUCHO,LA MAR,CHILCAS,050504,distrito,16,3431,1469,57.17,71.7,71.7,74.2
AYACUCHO,LUCANAS,SAN CRISTOBAL,050615,distrito,14,2315,1882,18.73,70.7,70.7,74.3
AYACUCHO,LA MAR,ANCHIHUAY,050510,distrito,14,2208,2208,0.0,70.6,67.4,84.0
AYACUCHO,PAUCAR DEL SARA SARA,SARA SARA,050810,distrito,11,706,706,0.0,70.3,70.3,70.3
AYACUCHO,VICTOR FAJARDO,CANARIA,051005,distrito,17,4147,4147,0.0,69.8,66.9,81.9
AYACUCHO,LUCANAS,AUCARA,050602,distrito,21,6463,6043,6.5,68.3,68.3,74.5
LAMBAYEQUE,CHICLAYO,NUEVA ARICA,140109,distrito,12,2003,2003,0.0,65.9,67.8,70.7
AYACUCHO,LUCANAS,CABANA,050603,distrito,20,5992,5992,0.0,65.2,64.1,64.9
AYACUCHO,LUCANAS,LUCANAS,050611,distrito,18,4603,3362,26.95,65.0,40.7,124.8
LORETO,ALTO AMAZONAS,JEBEROS,160205,distrito,18,4903,4903,0.0,64.4,64.4,64.4
AYACUCHO,HUAMANGA,VINCHOS,050114,distrito,36,14826,14826,0.0,62.9,56.8,82.3
AYACUCHO,HUANTA,UCHURACCAY,050410,distrito,14,2126,2126,0.0,62.8,62.8,64.2
AYACUCHO,CANGALLO,CHUSCHI,050202,distrito,24,7789,7789,0.0,61.4,63.0,69.8
AYACUCHO,HUAMANGA,ACOCRO,050102,distrito,30,11570,11570,0.0,59.1,56.4,72.5
AYACUCHO,HUANTA,CANAYRE,050409,distrito,18,9460,9460,0.0,59.0,58.9,59.6
LAMBAYEQUE,LAMBAYEQUE,CHOCHOPE,140302,distrito,12,963,963,0.0,57.7,57.6,62.1
LORETO,MAYNAS,FERNANDO LORES,160103,distrito,45,20062,20062,0.0,56.4,56.4,56.4
AYACUCHO,LA MAR,RIO MAGDALENA,050513,distrito,6,888,888,0.0,54.7,54.7,54.8
LAMBAYEQUE,LAMBAYEQUE,MOTUPE,140307,distrito,54,25292,25292,0.0,54.4,53.1,62.1
AYACUCHO,LUCANAS,CARMEN SALCEDO,050604,distrito,18,4688,3407,27.33,52.0,52.0,52.8
AYACUCHO,VICTOR FAJARDO,ALCAMENCA,051002,distrito,14,2426,2426,0.0,50.2,50.2,70.9
AYACUCHO,HUAMANGA,CHIARA,050105,distrito,21,6333,6333,0.0,49.8,52.6,66.3
LAMBAYEQUE,CHICLAYO,CAYALTI,140116,distrito,31,17684,17684,0.0,48.2,46.4,54.4
AYACUCHO,PARINACOCHAS,PUYUSCA,050706,distrito,13,2035,2035,0.0,47.8,47.3,64.6
LAMBAYEQUE,CHICLAYO,CHONGOYAPE,140102,distrito,39,16528,16528,0.0,46.0,47.0,50.9
AYACUCHO,HUANTA,CHACA,050412,distrito,23,7419,7419,0.0,45.4,45.4,56.7
AYACUCHO,VILCAS HUAMAN,VISCHONGO,051108,distrito,19,5234,5234,0.0,45.4,50.1,53.3
LAMBAYEQUE,FERREÑAFE,PITIPO,140205,distrito,55,25618,25618,0.0,45.0,45.9,59.7
AYACUCHO,HUAMANGA,ACOS VINCHOS,050103,distrito,22,6788,6788,0.0,43.7,39.3,62.0
AYACUCHO,VICTOR FAJARDO,HUALLA,051010,distrito,16,3383,2797,17.31,42.9,42.9,45.3
AYACUCHO,LA MAR,SAMUGARI,050509,distrito,18,4734,4734,0.0,40.1,39.5,45.6
AYACUCHO,HUAMANGA,SANTIAGO DE PISCHA,050111,distrito,16,3246,3246,0.0,39.3,34.5,58.0
AYACUCHO,LUCANAS,SAN PEDRO,050617,distrito,15,2951,1872,36.57,38.8,39.5,50.7
AYACUCHO,HUANTA,LLOCHEGUA,050408,distrito,20,5518,5194,5.87,36.4,35.7,47.9
LAMBAYEQUE,CHICLAYO,SAÑA,140115,distrito,32,12384,12384,0.0,35.5,37.7,43.3
LAMBAYEQUE,CHICLAYO,LAGUNAS,140107,distrito,27,9740,9740,0.0,34.7,32.8,43.8
LAMBAYEQUE,LAMBAYEQUE,JAYANCA,140304,distrito,41,17560,17495,0.37,34.2,31.6,39.6
AYACUCHO,HUAMANGA,SOCOS,050112,distrito,30,11775,11775,0.0,33.3,28.8,42.9
AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,050109,distrito,15,3075,3075,0.0,33.3,33.3,56.5
AYACUCHO,HUAMANGA,QUINUA,050108,distrito,20,6011,6011,0.0,33.1,34.7,36.8
AYACUCHO,VICTOR FAJARDO,CAYARA,051006,distrito,12,1101,1101,0.0,32.6,32.6,32.6
AYACUCHO,CANGALLO,MARIA PARADO DE BELLIDO,050204,distrito,14,2413,2413,0.0,32.6,31.8,36.5
LAMBAYEQUE,CHICLAYO,PUCALA,140119,distrito,27,9593,9593,0.0,30.9,28.8,39.8
LAMBAYEQUE,FERREÑAFE,MANUEL ANTONIO MESONES MURO,140204,distrito,17,4252,4252,0.0,29.4,29.2,30.2
LAMBAYEQUE,LAMBAYEQUE,MORROPE,140306,distrito,89,46259,43584,5.78,25.9,25.7,32.0
AYACUCHO,HUANTA,HUAMANGUILLA,050403,distrito,19,5070,5070,0.0,25.4,25.7,26.9
LAMBAYEQUE,LAMBAYEQUE,PACORA,140309,distrito,21,6603,6603,0.0,25.2,24.9,26.9
AYACUCHO,LUCANAS,SAN JUAN,050616,distrito,13,1957,1957,0.0,24.4,26.0,29.2
AYACUCHO,VICTOR FAJARDO,HUANCARAYLLA,051009,distrito,11,807,807,0.0,23.9,23.9,23.9
LAMBAYEQUE,FERREÑAFE,FERREÑAFE,140201,distrito,27,34615,34615,0.0,23.2,23.0,25.7
LAMBAYEQUE,CHICLAYO,PATAPO,140117,distrito,36,21757,21739,0.08,23.0,21.6,28.7
AYACUCHO,LA MAR,SANTA ROSA,050507,distrito,31,11999,11999,0.0,22.7,21.8,26.7
LAMBAYEQUE,FERREÑAFE,PUEBLO NUEVO,140206,distrito,15,11135,11135,0.0,22.5,22.6,24.7
LAMBAYEQUE,LAMBAYEQUE,TUCUME,140312,distrito,48,21846,21846,0.0,22.5,23.2,25.8
LAMBAYEQUE,LAMBAYEQUE,ILLIMO,140303,distrito,24,8275,8275,0.0,22.5,21.2,25.7
AYACUCHO,CANGALLO,LOS MOROCHUCOS,050203,distrito,25,8423,8423,0.0,22.2,21.4,28.6
LORETO,MAYNAS,SAN JUAN BAUTISTA,160113,distrito,101,144864,133917,7.56,21.5,19.9,37.7
AYACUCHO,LA MAR,TAMBO,050508,distrito,47,21429,21429,0.0,21.0,15.5,42.4
AYACUCHO,VICTOR FAJARDO,COLCA,051007,distrito,11,918,918,0.0,20.8,20.8,31.7
AYACUCHO,HUAMANGA,PACAYCASA,050107,distrito,16,3489,3489,0.0,19.5,20.7,21.8
AYACUCHO,PARINACOCHAS,CHUMPI,050702,distrito,14,2625,2625,0.0,18.1,13.4,38.5
LAMBAYEQUE,CHICLAYO,SANTA ROSA,140114,distrito,4,12678,12678,0.0,18.0,17.8,20.4
AYACUCHO,HUANTA,IGUAIN,050404,distrito,16,3666,3666,0.0,17.9,14.4,30.3
LAMBAYEQUE,CHICLAYO,TUMAN,140120,distrito,35,29332,29332,0.0,17.0,16.4,21.4
AYACUCHO,LUCANAS,CHAVIÑA,050605,distrito,13,1937,1729,10.75,16.6,15.6,31.7
AYACUCHO,HUANTA,LURICOCHA,050405,distrito,19,5140,5140,0.0,16.6,16.1,27.6
LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,140305,distrito,42,18076,18076,0.0,16.6,15.5,22.9
AYACUCHO,VICTOR FAJARDO,HUANCAPI,051001,distrito,13,1826,1826,0.0,16.2,16.7,17.2
LAMBAYEQUE,CHICLAYO,ETEN PUERTO,140104,distrito,1,1876,1876,0.0,15.5,15.5,15.5
